Year,Units,Սեռ,Value
2015,"1,000 կենդանածնի հաշվով",,8.8
2016,"1,000 կենդանածնի հաշվով",,8.6
2017,"1,000 կենդանածնի հաշվով",,8.2
2018,"1,000 կենդանածնի հաշվով",,7.1
2019,"1,000 կենդանածնի հաշվով",,6.1
2020,"1,000 կենդանածնի հաշվով",,7.4
2021,"1,000 կենդանածնի հաշվով",,6.9
2015,"1,000 կենդանածնի հաշվով",տղա,9.4
2016,"1,000 կենդանածնի հաշվով",տղա,9.9
2017,"1,000 կենդանածնի հաշվով",տղա,8.8
2018,"1,000 կենդանածնի հաշվով",տղա,7.4
2019,"1,000 կենդանածնի հաշվով",տղա,6.8
2020,"1,000 կենդանածնի հաշվով",տղա,8.2
2021,"1,000 կենդանածնի հաշվով",տղա,7.8
2015,"1,000 կենդանածնի հաշվով",աղջիկ,8.2
2016,"1,000 կենդանածնի հաշվով",աղջիկ,7.3
2017,"1,000 կենդանածնի հաշվով",աղջիկ,7.6
2018,"1,000 կենդանածնի հաշվով",աղջիկ,6.8
2019,"1,000 կենդանածնի հաշվով",աղջիկ,5.3
2020,"1,000 կենդանածնի հաշվով",աղջիկ,6.4
2021,"1,000 կենդանածնի հաշվով",աղջիկ,5.9
2022,"1,000 կենդանածնի հաշվով",տղա,8.0
2022,"1,000 կենդանածնի հաշվով",աղջիկ,5.3
2015,"1,000 կենդանածնի հաշվով",քաղաք,8.6
2016,"1,000 կենդանածնի հաշվով",քաղաք,7.6
2017,"1,000 կենդանածնի հաշվով",քաղաք,7.2
2018,"1,000 կենդանածնի հաշվով",քաղաք,6.7
2019,"1,000 կենդանածնի հաշվով",քաղաք,5.2
2020,"1,000 կենդանածնի հաշվով",քաղաք,6.1
2021,"1,000 կենդանածնի հաշվով",քաղաք,6.6
2015,"1,000 կենդանածնի հաշվով",գյուղ,9.3
2016,"1,000 կենդանածնի հաշվով",գյուղ,10.6
2017,"1,000 կենդանածնի հաշվով",գյուղ,10.1
2018,"1,000 կենդանածնի հաշվով",գյուղ,7.9
2019,"1,000 կենդանածնի հաշվով",գյուղ,7.8
2020,"1,000 կենդանածնի հաշվով",գյուղ,10.1
2021,"1,000 կենդանածնի հաշվով",գյուղ,7.6
2022,"1,000 կենդանածնի հաշվով",քաղաք,7.7
2022,"1,000 կենդանածնի հաշվով",գյուղ,5.6
2022,"1,000 կենդանածնի հաշվով",,6.7
2023,"1,000 կենդանածնի հաշվով",,6.6
2023,"1,000 կենդանածնի հաշվով",քաղաք,6.7
2023,"1,000 կենդանածնի հաշվով",գյուղ,6.5
2023,"1,000 կենդանածնի հաշվով",տղա,7.2
2023,"1,000 կենդանածնի հաշվով",աղջիկ,5.9
2024,"1,000 կենդանածնի հաշվով",,6.2
2024,"1,000 կենդանածնի հաշվով",քաղաք,8.2
2024,"1,000 կենդանածնի հաշվով",գյուղ,3.9
2024,"1,000 կենդանածնի հաշվով",տղա,7.4
2024,"1,000 կենդանածնի հաշվով",աղջիկ,4.9
