Year,Индикатор,Units,Value
2010,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species","да=1, нет=0",1
2016,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species","да=1, нет=0",1
2020,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species","да=1, нет=0",1
2022,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species","да=1, нет=0",1
2010,National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,"да=1, нет=0",0
2016,National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,"да=1, нет=0",1
2020,National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,"да=1, нет=0",1
2022,National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020,"да=1, нет=0",1
2010,Countries with an allocation from the national budget to manage the threat of invasive alien species,"да=1, нет=0",0
2016,Countries with an allocation from the national budget to manage the threat of invasive alien species,"да=1, нет=0",0
2020,Countries with an allocation from the national budget to manage the threat of invasive alien species,"да=1, нет=0",0
2022,Countries with an allocation from the national budget to manage the threat of invasive alien species,"да=1, нет=0",0
2010,Recipient countries of global funding with access to any funding from global financial mechanisms for projects related to invasive alien species  management,"да=1, нет=0",0
2016,Recipient countries of global funding with access to any funding from global financial mechanisms for projects related to invasive alien species  management,"да=1, нет=0",0
2020,Recipient countries of global funding with access to any funding from global financial mechanisms for projects related to invasive alien species  management,"да=1, нет=0",0
2022,Recipient countries of global funding with access to any funding from global financial mechanisms for projects related to invasive alien species  management,"да=1, нет=0",0
