Year,Units,Индикатор,Value
2013,%,Темп годового ВВП,3.3
2014,%,Темп годового ВВП,3.6
2015,%,Темп годового ВВП,3.2
2016,%,Темп годового ВВП,0.2
2017,%,Темп годового ВВП,7.5
2018,%,Темп годового ВВП,5.2
2019,%,Темп годового ВВП,7.6
2020,%,Темп годового ВВП,-7.2
2021,%,Темп годового ВВП,5.8
2022,%,Темп годового ВВП,12.6
2023,%,Темп годового ВВП,8.3
2024,%,Темп годового ВВП,5.9
2013,%,Темп расходов на конечное потребление  государственных учреждений,7.6
2014,%,Темп расходов на конечное потребление  государственных учреждений,-1.2
2015,%,Темп расходов на конечное потребление  государственных учреждений,4.7
2016,%,Темп расходов на конечное потребление  государственных учреждений,-2.4
2017,%,Темп расходов на конечное потребление  государственных учреждений,-2.1
2018,%,Темп расходов на конечное потребление  государственных учреждений,-3.0
2019,%,Темп расходов на конечное потребление  государственных учреждений,12.9
2020,%,Темп расходов на конечное потребление  государственных учреждений,9.2
2021,%,Темп расходов на конечное потребление  государственных учреждений,-6.2
2022,%,Темп расходов на конечное потребление  государственных учреждений,-2.2
2023,%,Темп расходов на конечное потребление  государственных учреждений,10.2
2024,%,Темп расходов на конечное потребление  государственных учреждений,-9.5
2013,%,Темп валового накопления,-7.2
2014,%,Темп валового накопления,-0.7
2015,%,Темп валового накопления,-3.2
2016,%,Темп валового накопления,-8.7
2017,%,Темп валового накопления,10.3
2018,%,Темп валового накопления,34.5
2019,%,Темп валового накопления,-14.3
2020,%,Темп валового накопления,-0.5
2021,%,Темп валового накопления,20.5
2022,%,Темп валового накопления,11.2
2023,%,Темп валового накопления,14.7
2024,%,Темп валового накопления,11.3
2013,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",1.7
2014,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",1.6
2015,%,"Темп расходов на конечное потребление домашних хозяйств и некоммерческих организаций, обслуживающих домашние хозяйства",-7.5
