Year,Units,Категория,Value
2015,млн. драм,материальное потребление,2773103.4
2016,млн. драм,материальное потребление,2732252.3
2017,млн. драм,материальное потребление,3120625.2
2018,млн. драм,материальное потребление,3378262.0
2019,млн. драм,материальное потребление,3844807.1
2020,млн. драм,материальное потребление,3276763.0
2015,драм,внутреннее материальное потребление на душу населения,922952.6
2016,драм,внутреннее материальное потребление на душу населения,913094.4
2017,драм,внутреннее материальное потребление на душу населения,1047400.6
2018,драм,внутреннее материальное потребление на душу населения,1137845.1
2019,драм,внутреннее материальное потребление на душу населения,1297825.2
2020,драм,внутреннее материальное потребление на душу населения,1106453.8
2015,%,внутреннее материальное потребление к ВВП,55.0
2016,%,внутреннее материальное потребление к ВВП,53.9
2017,%,внутреннее материальное потребление к ВВП,56.1
2018,%,внутреннее материальное потребление к ВВП,56.1
2019,%,внутреннее материальное потребление к ВВП,58.8
2020,%,внутреннее материальное потребление к ВВП,53.0
2021,млн. драм,материальное потребление,3511031.9
2021,драм,внутреннее материальное потребление на душу населения,1185238.5
2021,%,внутреннее материальное потребление к ВВП,50.2
2022,млн. драм,материальное потребление,4092007.6
2022,драм,внутреннее материальное потребление на душу населения,1378198.0
2022,%,внутреннее материальное потребление к ВВП,48.1
