"Year","Series","Units","Value"
"2015","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100","57"
"2016","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100","55"
"2017","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100","52"
"2018","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100","50"
"2019","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100",""
"2020","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100","59"
"2021","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100",""
"2022","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100","60"
"2023","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100",""
"2024","Open Data Inventory (ODIN) Coverage Index","Index from 0 to 100","63"

