"Year","Units","Category","Value"
"2010-2015","%","growth rates of household expenditure or income per capita among the bottom 40 per cent of the population","102.51"
"2011-2016","%","growth rates of household expenditure or income per capita among the bottom 40 per cent of the population","102.24"
"2012-2017","%","growth rates of household expenditure or income per capita among the bottom 40 per cent of the population","101.8"
"2013-2018","%","growth rates of household expenditure or income per capita among the bottom 40 per cent of the population","101.26"
"2020","%","growth rates of household expenditure or income per capita among the bottom 40 per cent of the population","100.07"
"2021","%","growth rates of household expenditure or income per capita among the bottom 40 per cent of the population","100.06"
"2010-2015","%","growth rates of household expenditure or income per capita among the total population","103.83"
"2011-2016","%","growth rates of household expenditure or income per capita among the total population","104.47"
"2012-2017","%","growth rates of household expenditure or income per capita among the total population","103.16"
"2013-2018","%","growth rates of household expenditure or income per capita among the total population","102.4"
"2020","%","growth rates of household expenditure or income per capita among the total population","99.07"
"2021","%","growth rates of household expenditure or income per capita among the total population","100.12"
"2022","%","growth rates of household expenditure or income per capita among the bottom 40 per cent of the population","100.15"
"2022","%","growth rates of household expenditure or income per capita among the total population","100.17"
"2023","%","growth rates of household expenditure or income per capita among the bottom 40 per cent of the population","100.03"
"2023","%","growth rates of household expenditure or income per capita among the total population","99.99"
