"Year","Units","Sex","Value"
"2015","per 1,000 life births","","10.4"
"2016","per 1,000 life births","","10.1"
"2017","per 1,000 life births","","9.6"
"2018","per 1,000 life births","","8.7"
"2019","per 1,000 life births","","7.5"
"2020","per 1,000 life births","","8.2"
"2021","per 1,000 life births","","8.1"
"2015","per 1,000 life births","boy","11.2"
"2016","per 1,000 life births","boy","11.5"
"2017","per 1,000 life births","boy","10.6"
"2018","per 1,000 life births","boy","9.1"
"2019","per 1,000 life births","boy","8.1"
"2020","per 1,000 life births","boy","9.2"
"2021","per 1,000 life births","boy","9.0"
"2015","per 1,000 life births","girl","9.5"
"2016","per 1,000 life births","girl","8.5"
"2017","per 1,000 life births","girl","8.5"
"2018","per 1,000 life births","girl","8.1"
"2019","per 1,000 life births","girl","6.9"
"2020","per 1,000 life births","girl","7.1"
"2021","per 1,000 life births","girl","7.1"
