"Year","Units","Sex","Value"
"2015","per 1,000 life births","ընդամենը","10.4"
"2016","per 1,000 life births","ընդամենը","10.1"
"2017","per 1,000 life births","ընդամենը","9.6"
"2018","per 1,000 life births","ընդամենը","8.7"
"2019","per 1,000 life births","ընդամենը","7.5"
"2020","per 1,000 life births","ընդամենը","8.2"
"2021","per 1,000 life births","ընդամենը","8.1"
"2015","per 1,000 life births","տղա","11.2"
"2016","per 1,000 life births","տղա","11.5"
"2017","per 1,000 life births","տղա","10.6"
"2018","per 1,000 life births","տղա","9.1"
"2019","per 1,000 life births","տղա","8.1"
"2020","per 1,000 life births","տղա","9.2"
"2021","per 1,000 life births","տղա","9.0"
"2015","per 1,000 life births","աղջիկ","9.5"
"2016","per 1,000 life births","աղջիկ","8.5"
"2017","per 1,000 life births","աղջիկ","8.5"
"2018","per 1,000 life births","աղջիկ","8.1"
"2019","per 1,000 life births","աղջիկ","6.9"
"2020","per 1,000 life births","աղջիկ","7.1"
"2021","per 1,000 life births","աղջիկ","7.1"
