Year,Series,Units,Value,,
2010,Amount of tracked exported Environmentally Sound Technologies,USD,19729128,,
2011,Amount of tracked exported Environmentally Sound Technologies,USD,17601676,,
2012,Amount of tracked exported Environmentally Sound Technologies,USD,18501042,,
2013,Amount of tracked exported Environmentally Sound Technologies,USD,24104887,,
2014,Amount of tracked exported Environmentally Sound Technologies,USD,22295597,,
2015,Amount of tracked exported Environmentally Sound Technologies,USD,17474495,,
2016,Amount of tracked exported Environmentally Sound Technologies,USD,23322041,,
2017,Amount of tracked exported Environmentally Sound Technologies,USD,29123447.3,,
2018,Amount of tracked exported Environmentally Sound Technologies,USD,32180263.7,,
2019,Amount of tracked exported Environmentally Sound Technologies,USD,47427293,,
2020,Amount of tracked exported Environmentally Sound Technologies,USD,30338376.1,,
2021,Amount of tracked exported Environmentally Sound Technologies,USD,34883781.8,,
2022,Amount of tracked exported Environmentally Sound Technologies,USD,102063223.8,,
2023,Amount of tracked exported Environmentally Sound Technologies,USD,128675175.4,,
2024,Amount of tracked exported Environmentally Sound Technologies,USD,110363475.7,,
2010,Amount of tracked imported Environmentally Sound Technologies,USD,229483676,,
2011,Amount of tracked imported Environmentally Sound Technologies,USD,174337163,,
2012,Amount of tracked imported Environmentally Sound Technologies,USD,177370787,,
2013,Amount of tracked imported Environmentally Sound Technologies,USD,238356795,,
2014,Amount of tracked imported Environmentally Sound Technologies,USD,240982150,,
2015,Amount of tracked imported Environmentally Sound Technologies,USD,161357732,,
2016,Amount of tracked imported Environmentally Sound Technologies,USD,165319783,,
2017,Amount of tracked imported Environmentally Sound Technologies,USD,216430808.2,,
2018,Amount of tracked imported Environmentally Sound Technologies,USD,291616633.7,,
2019,Amount of tracked imported Environmentally Sound Technologies,USD,284135254.4,,
2020,Amount of tracked imported Environmentally Sound Technologies,USD,343301048,,
2021,Amount of tracked imported Environmentally Sound Technologies,USD,344367925.1,,
2022,Amount of tracked imported Environmentally Sound Technologies,USD,367618683.5,,
2023,Amount of tracked imported Environmentally Sound Technologies,USD,426809065,,
2024,Amount of tracked imported Environmentally Sound Technologies,USD,450667538.1,,
2010,Amount of tracked re-exported Environmentally Sound Technologies,USD,3114851,,
2011,Amount of tracked re-exported Environmentally Sound Technologies,USD,5384076,,
2012,Amount of tracked re-exported Environmentally Sound Technologies,USD,4630692,,
2013,Amount of tracked re-exported Environmentally Sound Technologies,USD,4046070,,
2014,Amount of tracked re-exported Environmentally Sound Technologies,USD,4794390,,
2015,Amount of tracked re-exported Environmentally Sound Technologies,USD,3395509,,
2016,Amount of tracked re-exported Environmentally Sound Technologies,USD,2199306,,
2017,Amount of tracked re-exported Environmentally Sound Technologies,USD,4679074.3,,
2018,Amount of tracked re-exported Environmentally Sound Technologies,USD,2837749.1,,
2019,Amount of tracked re-exported Environmentally Sound Technologies,USD,2850361.8,,
2020,Amount of tracked re-exported Environmentally Sound Technologies,USD,1749894.2,,
2021,Amount of tracked re-exported Environmentally Sound Technologies,USD,1658273.7,,
2022,Amount of tracked re-exported Environmentally Sound Technologies,USD,729844.4,,
2023,Amount of tracked re-exported Environmentally Sound Technologies,USD,495557.1,,
2010,Amount of tracked re-imported Environmentally Sound Technologies,USD,25144,,
2011,Amount of tracked re-imported Environmentally Sound Technologies,USD,2621749,,
2012,Amount of tracked re-imported Environmentally Sound Technologies,USD,83213,,
2013,Amount of tracked re-imported Environmentally Sound Technologies,USD,108597,,
2014,Amount of tracked re-imported Environmentally Sound Technologies,USD,71817,,
2015,Amount of tracked re-imported Environmentally Sound Technologies,USD,190552,,
2016,Amount of tracked re-imported Environmentally Sound Technologies,USD,133646,,
2017,Amount of tracked re-imported Environmentally Sound Technologies,USD,148203.5,,
2018,Amount of tracked re-imported Environmentally Sound Technologies,USD,600072.5,,
2019,Amount of tracked re-imported Environmentally Sound Technologies,USD,34599.5,,
2020,Amount of tracked re-imported Environmentally Sound Technologies,USD,39522.8,,
2021,Amount of tracked re-imported Environmentally Sound Technologies,USD,207811.7,,
2022,Amount of tracked re-imported Environmentally Sound Technologies,USD,323695.2,,
2023,Amount of tracked re-imported Environmentally Sound Technologies,USD,147103.4,,
2010,Total trade of tracked Environmentally Sound Technologies,USD,252352799,,
2011,Total trade of tracked Environmentally Sound Technologies,USD,199944664,,
2012,Total trade of tracked Environmentally Sound Technologies,USD,200585734,,
2013,Total trade of tracked Environmentally Sound Technologies,USD,266616349,,
2014,Total trade of tracked Environmentally Sound Technologies,USD,268143954,,
2015,Total trade of tracked Environmentally Sound Technologies,USD,182418288,,
2016,Total trade of tracked Environmentally Sound Technologies,USD,190974776,,
2017,Total trade of tracked Environmentally Sound Technologies,USD,250381533.3,,
2018,Total trade of tracked Environmentally Sound Technologies,USD,327234718.9,,
2019,Total trade of tracked Environmentally Sound Technologies,USD,334447508.8,,
2020,Total trade of tracked Environmentally Sound Technologies,USD,375428841.1,,
2021,Total trade of tracked Environmentally Sound Technologies,USD,381117792.3,,
2022,Total trade of tracked Environmentally Sound Technologies,USD,470735446.9,,
2023,Total trade of tracked Environmentally Sound Technologies,USD,556126900.9,,
2024,Total trade of tracked Environmentally Sound Technologies,USD,561031013.7,,
