Year,Units,Категория,Пол,Value
2015,человек,"ребенок, имеющий обоих родителей",,36.0
2016,человек,"ребенок, имеющий обоих родителей",,28.0
2017,человек,"ребенок, имеющий обоих родителей",,14.0
2018,человек,"ребенок, имеющий обоих родителей",,13.0
2019,человек,"ребенок, имеющий обоих родителей",,6.0
2020,человек,"ребенок, имеющий обоих родителей",,10.0
2015,человек,"ребенок, имеющий обоих родителей",мужчина,23.0
2016,человек,"ребенок, имеющий обоих родителей",мужчина,19.0
2017,человек,"ребенок, имеющий обоих родителей",мужчина,10.0
2018,человек,"ребенок, имеющий обоих родителей",мужчина,7.0
2019,человек,"ребенок, имеющий обоих родителей",мужчина,1.0
2020,человек,"ребенок, имеющий обоих родителей",мужчина,5.0
2015,человек,"ребенок, имеющий обоих родителей",женщина,13.0
2016,человек,"ребенок, имеющий обоих родителей",женщина,9.0
2017,человек,"ребенок, имеющий обоих родителей",женщина,4.0
2018,человек,"ребенок, имеющий обоих родителей",женщина,6.0
2019,человек,"ребенок, имеющий обоих родителей",женщина,5.0
2020,человек,"ребенок, имеющий обоих родителей",женщина,5.0
2015,человек,ребенок матери одиночки,,34.0
2016,человек,ребенок матери одиночки,,31.0
2017,человек,ребенок матери одиночки,,13.0
2018,человек,ребенок матери одиночки,,8.0
2019,человек,ребенок матери одиночки,,4.0
2020,человек,ребенок матери одиночки,,9.0
2015,человек,ребенок матери одиночки,мужчина,16.0
2016,человек,ребенок матери одиночки,мужчина,12.0
2017,человек,ребенок матери одиночки,мужчина,6.0
2018,человек,ребенок матери одиночки,мужчина,4.0
2019,человек,ребенок матери одиночки,мужчина,3.0
2020,человек,ребенок матери одиночки,мужчина,5.0
2015,человек,ребенок матери одиночки,женщина,18.0
2016,человек,ребенок матери одиночки,женщина,19.0
2017,человек,ребенок матери одиночки,женщина,7.0
2018,человек,ребенок матери одиночки,женщина,4.0
2019,человек,ребенок матери одиночки,женщина,1.0
2020,человек,ребенок матери одиночки,женщина,4.0
2015,человек,"ребенок, лишенный родительской опеки",,23.0
2016,человек,"ребенок, лишенный родительской опеки",,12.0
2017,человек,"ребенок, лишенный родительской опеки",,22.0
2018,человек,"ребенок, лишенный родительской опеки",,22.0
2019,человек,"ребенок, лишенный родительской опеки",,0.0
2020,человек,"ребенок, лишенный родительской опеки",,10.0
2015,человек,"ребенок, лишенный родительской опеки",мужчина,10.0
2016,человек,"ребенок, лишенный родительской опеки",мужчина,4.0
2017,человек,"ребенок, лишенный родительской опеки",мужчина,8.0
2018,человек,"ребенок, лишенный родительской опеки",мужчина,10.0
2019,человек,"ребенок, лишенный родительской опеки",мужчина,0.0
2020,человек,"ребенок, лишенный родительской опеки",мужчина,3.0
2015,человек,"ребенок, лишенный родительской опеки",женщина,13.0
2016,человек,"ребенок, лишенный родительской опеки",женщина,8.0
2017,человек,"ребенок, лишенный родительской опеки",женщина,14.0
2018,человек,"ребенок, лишенный родительской опеки",женщина,12.0
2019,человек,"ребенок, лишенный родительской опеки",женщина,0.0
2020,человек,"ребенок, лишенный родительской опеки",женщина,7.0
2015,человек,другие,,3.0
2016,человек,другие,,4.0
2017,человек,другие,,7.0
2018,человек,другие,,5.0
2019,человек,другие,,9.0
2020,человек,другие,,4.0
2015,человек,другие,мужчина,1.0
2016,человек,другие,мужчина,2.0
2017,человек,другие,мужчина,3.0
2018,человек,другие,мужчина,1.0
2019,человек,другие,мужчина,6.0
2020,человек,другие,мужчина,4.0
2015,человек,другие,женщина,2.0
2016,человек,другие,женщина,2.0
2017,человек,другие,женщина,4.0
2018,человек,другие,женщина,4.0
2019,человек,другие,женщина,3.0
2020,человек,другие,женщина,0.0
2015,%,"ребенок, имеющий обоих родителей",,37.5
2016,%,"ребенок, имеющий обоих родителей",,37.33
2017,%,"ребенок, имеющий обоих родителей",,25.0
2018,%,"ребенок, имеющий обоих родителей",,27.08
2019,%,"ребенок, имеющий обоих родителей",,31.58
2020,%,"ребенок, имеющий обоих родителей",,30.3
2015,%,"ребенок, имеющий обоих родителей",мужчина,46.0
2016,%,"ребенок, имеющий обоих родителей",мужчина,51.35
2017,%,"ребенок, имеющий обоих родителей",мужчина,37.04
