Year,Units,Սեռ,Employed,Value
2020,ընդամենը,,Վարձու աշխատողներ,53761
2020,ընդամենը,,,76067
2020,ընդամենը,,Ոչ վարձու աշխատողներ,22306
2020,ընդամենը,տղամարդ,,50998
2020,ընդամենը,կին,,25068
2020,,կին,Վարձու աշխատողներ,24121
2020,,կին,Ոչ վարձու աշխատողներ,947
2020,,տղամարդ,Վարձու աշխատողներ,29640
2020,,տղամարդ,Ոչ վարձու աշխատողներ,21358
2021,ընդամենը,,,69806
2021,ընդամենը,տղամարդ,,42008
2021,ընդամենը,կին,,27797
2021,ընդամենը,,Վարձու աշխատողներ,53015
2021,ընդամենը,,Ոչ վարձու աշխատողներ,16791
2021,,կին,Վարձու աշխատողներ,27024
2021,,կին,Ոչ վարձու աշխատողներ,773
2021,,տղամարդ,Վարձու աշխատողներ,25991
2021,,տղամարդ,Ոչ վարձու աշխատողներ,16017
2022,ընդամենը,,,80374
2022,ընդամենը,կին,,29630
2022,ընդամենը,տղամարդ,,50744
2022,ընդամենը,,Վարձու աշխատողներ,61398
2022,ընդամենը,,Ոչ վարձու աշխատողներ,18976
2022,,կին,Վարձու աշխատողներ,27807
2022,,կին,Ոչ վարձու աշխատողներ,1823
2022,,տղամարդ,Վարձու աշխատողներ,33591
2022,,տղամարդ,Ոչ վարձու աշխատողներ,17153
2023,ընդամենը,,,89491
2023,ընդամենը,կին,,32065
2023,ընդամենը,տղամարդ,,57426
2023,ընդամենը,,Վարձու աշխատողներ,62351
2023,ընդամենը,,Ոչ վարձու աշխատողներ,27140
2023,,կին,Վարձու աշխատողներ,28831
2023,,կին,Ոչ վարձու աշխատողներ,3234
2023,,տղամարդ,Վարձու աշխատողներ,33520
2023,,տղամարդ,Ոչ վարձու աշխատողներ,23906
