Year,Units,Series,Должность,Пол,Возраст,Тип,Value
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Численность государственных служащих, всего",женщина,,,0.95
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Численность государственных служащих, всего",женщина,18-24,,1.51
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Численность государственных служащих, всего",женщина,25-34,,1.4
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Численность государственных служащих, всего",женщина,35-44,,0.83
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Численность государственных служащих, всего",женщина,45-54,,0.98
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Численность государственных служащих, всего",женщина,55-64,,0.81
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Численность государственных служащих, всего",женщина,65-74,,0.44
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Численность государственных служащих, всего",женщина,,С инвалидностью,0.92
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Руководители и должностные лица органов государственного управления и прочие руководители,женщина,,,0.61
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Суды первой инстанции общей юрисдикции и специализированные суды,женщина,,,0.62
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Конституционный Суд,женщина,,,0.21
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",шестоящие суды (Кассационный и апелляционные суды),женщина,,,0.59
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Офисные служащие и операторы, работающие с клавиатурой",женщина,,,1.2
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Специалисты средней квалификации в сфере предпринимательской деятельности и администрирования,женщина,,,1.15
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Высококвалифицированные специалисты в сфере администрирования,женщина,,,0.97
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Судьи,женщина,,,0.6
