Year,Units,Пол,Value
2015,"на 1,000 живорожденных",,10.4
2016,"на 1,000 живорожденных",,10.1
2017,"на 1,000 живорожденных",,9.6
2018,"на 1,000 живорожденных",,8.7
2019,"на 1,000 живорожденных",,7.5
2020,"на 1,000 живорожденных",,8.2
2021,"на 1,000 живорожденных",,8.1
2015,"на 1,000 живорожденных",мальчик,11.2
2016,"на 1,000 живорожденных",мальчик,11.5
2017,"на 1,000 живорожденных",мальчик,10.6
2018,"на 1,000 живорожденных",мальчик,9.1
2019,"на 1,000 живорожденных",мальчик,8.1
2020,"на 1,000 живорожденных",мальчик,9.2
2021,"на 1,000 живорожденных",мальчик,9.0
2015,"на 1,000 живорожденных",девочка,9.5
2016,"на 1,000 живорожденных",девочка,8.5
2017,"на 1,000 живорожденных",девочка,8.5
2018,"на 1,000 живорожденных",девочка,8.1
2019,"на 1,000 живорожденных",девочка,6.9
2020,"на 1,000 живорожденных",девочка,7.1
2021,"на 1,000 живорожденных",девочка,7.1
