Year,Units,Կրթական մակարդակ,Value
2013,%,Տարրական,99.4
2013,%,Lower secondary,97.5
2013,%,Upper secondary,88.8
2014,%,Տարրական,99.4
2014,%,Lower secondary,97.6
2014,%,Upper secondary,88.9
2015,%,Տարրական,99.4
2015,%,Lower secondary,97.6
2015,%,Upper secondary,89.0
2016,%,Տարրական,99.4
2016,%,Lower secondary,97.6
2016,%,Upper secondary,89.2
2017,%,Տարրական,99.4
2017,%,Lower secondary,97.7
2017,%,Upper secondary,89.3
2018,%,Տարրական,99.4
2018,%,Lower secondary,97.7
2018,%,Upper secondary,89.3
2019,%,Տարրական,99.4
2019,%,Lower secondary,97.7
2019,%,Upper secondary,89.6
2020,%,Տարրական,99.4
2020,%,Lower secondary,97.8
2020,%,Upper secondary,89.7
2021,%,Տարրական,99.5
2021,%,Lower secondary,97.8
2021,%,Upper secondary,89.9
